ds,yhat,yhat_lower,yhat_upper,production_type
2011-12-01,5648.218008415156,4602.009550081163,6741.864490326206,Hydro
2012-01-01,6573.511809236543,5357.347729487074,7640.972503959918,Hydro
2012-02-01,5323.827498939666,4210.928484229152,6424.168993696459,Hydro
2012-03-01,6426.330270571465,5306.062886644383,7521.538057035124,Hydro
2012-04-01,6587.637042599482,5395.269917921558,7728.313545866993,Hydro
2012-05-01,6927.515112160631,5748.711140571358,7967.817631445041,Hydro
2012-06-01,6538.712901287832,5499.234561035926,7728.28189242237,Hydro
2012-07-01,5381.631929319854,4182.809062707832,6486.715501091975,Hydro
2012-08-01,3613.208572823878,2476.2091423538195,4805.947338349582,Hydro
2012-09-01,2704.5147507460306,1470.8863592329844,3895.022588956366,Hydro
2012-10-01,3947.903280769341,2810.3881580894763,5106.772979484941,Hydro
2012-11-01,4001.8581153098366,2908.0849223830487,5114.580598538961,Hydro
2012-12-01,5240.694202814572,4115.3818859853845,6369.682072281659,Hydro
2013-01-01,6035.986412461087,4853.601939113245,7164.990561148969,Hydro
2013-02-01,5545.185362101666,4456.821434135406,6693.751349595556,Hydro
2013-03-01,6295.877828198779,5110.959435974898,7420.176923313857,Hydro
2013-04-01,6287.961280053309,5163.766221107395,7401.437760725032,Hydro
2013-05-01,6493.567715265086,5346.244174596403,7676.931442025152,Hydro
2013-06-01,6592.11015825781,5419.43727923384,7762.710800767955,Hydro
2013-07-01,5437.067920528007,4344.173204206839,6589.4662524324,Hydro
2013-08-01,3550.8150168813745,2382.0965812759805,4591.3936268379075,Hydro
2013-09-01,3850.674183271247,2767.7881886622995,4962.9716004070615,Hydro
2013-10-01,3813.2866754144707,2627.182002022909,4903.1493070890665,Hydro
2013-11-01,4647.3272789745615,3482.2898957521916,5732.836338420564,Hydro
2013-12-01,5024.775412264151,3886.63970946863,6158.438037807261,Hydro
2014-01-01,6021.6038733010955,4784.721672746676,7278.460426688872,Hydro
2014-02-01,5887.402301305918,4703.353659988988,7076.873939251691,Hydro
2014-03-01,6923.7712177142685,5787.564938179965,8080.949564364947,Hydro
2014-04-01,7008.834613520945,5848.925833050934,8172.7895706687,Hydro
2014-05-01,6139.991720784469,4984.364027604751,7345.7805125646655,Hydro
2014-06-01,6947.583028459348,5752.309713644159,8151.478965886118,Hydro
2014-07-01,4894.69359827084,3795.431258012389,6085.749434342918,Hydro
2014-08-01,3500.9848057372537,2414.1230310278816,4624.757638646801,Hydro
2014-09-01,2644.1905175857823,1494.6546019692425,3746.7626166493505,Hydro
2014-10-01,3263.10670122417,2159.742788434358,4384.944905720192,Hydro
2014-11-01,3984.4593404197212,2852.573246560664,5125.926176891248,Hydro
2014-12-01,4630.8573549040475,3583.0641153625515,5755.111411098502,Hydro
2015-01-01,6363.491721677703,5246.932319700454,7494.679428982762,Hydro
2015-02-01,6407.367251910645,5253.611864513027,7584.776608247567,Hydro
2015-03-01,5862.595056719178,4791.379705525771,7049.491543321728,Hydro
2015-04-01,6422.815151584586,5267.256547928883,7488.7146593115785,Hydro
2015-05-01,7490.501032399163,6322.776385447669,8647.927465745726,Hydro
2015-06-01,6865.028975189982,5739.239627449765,8021.557908695645,Hydro
2015-07-01,4863.693747195807,3715.446803769299,5995.456014627804,Hydro
2015-08-01,4232.957322406513,3121.203536763401,5375.739806507023,Hydro
2015-09-01,2691.9943507487656,1575.8751184093649,3818.1396820442365,Hydro
2015-10-01,3471.5197006252783,2323.1223886484445,4619.639576174602,Hydro
2015-11-01,4840.701987210776,3763.607144617442,5976.809528839369,Hydro
2015-12-01,4826.685490625399,3627.68560340046,5940.764223057622,Hydro
2016-01-01,6121.0939904334755,4974.923051719339,7225.817441790984,Hydro
2016-02-01,5493.621802500234,4288.43596083409,6657.65414920173,Hydro
2016-03-01,6420.566729231634,5274.240981984095,7609.094173056963,Hydro
2016-04-01,6223.251203670427,5150.521727990016,7338.015501226456,Hydro
2016-05-01,7041.581398308008,6013.936483148821,8100.1717831445885,Hydro
2016-06-01,5938.20333686496,4759.54979201735,7071.741566957814,Hydro
2016-07-01,4859.803190820642,3716.049031421243,6015.6840424579705,Hydro
2016-08-01,3664.97404402224,2539.604701294371,4871.793080004151,Hydro
2016-09-01,2515.543142020254,1403.3567185591753,3767.726477476511,Hydro
2016-10-01,3980.2370537423053,2872.2379215654887,5204.724814551607,Hydro
2016-11-01,4054.7468621200296,2851.4829388774633,5193.174951262941,Hydro
2016-12-01,5232.997250246905,4101.1742218489035,6377.624231203823,Hydro
2017-01-01,6791.141034423264,5625.602168812357,7951.347033508689,Hydro
2017-02-01,6419.8154556605605,5222.612843290201,7606.91112708857,Hydro
2017-03-01,6952.090033727733,5725.277099150039,8117.861205320096,Hydro
2017-04-01,6484.687064479369,5362.218810115961,7635.094906254633,Hydro
2017-05-01,6637.52943541092,5461.689889806742,7888.440479491951,Hydro
2017-06-01,5994.886855495994,4834.098167944858,7126.159966886554,Hydro
2017-07-01,5932.675864812744,4812.620140292866,7121.375260280643,Hydro
2017-08-01,4408.361175465509,3299.21258248223,5567.961163128711,Hydro
2017-09-01,3194.0658226672335,2010.664084580904,4312.844463760415,Hydro
2017-10-01,3296.2620665768745,2117.0261220365314,4312.321124020269,Hydro
2017-11-01,4133.803264469429,2980.696389097361,5289.581176845918,Hydro
2017-12-01,4782.486944462282,3706.40512955509,5938.629783753634,Hydro
2018-01-01,6393.919699086118,5238.476885681284,7609.055812370893,Hydro
2018-02-01,5719.782193252571,4633.275007377964,6797.90235467813,Hydro
