ds,yhat,yhat_lower,yhat_upper
2023-08-01,27226.11864847569,25083.57615097857,29470.48940126728
2023-09-01,28633.30297370216,26555.166283450377,30848.83024460431
2023-10-01,31940.847487848492,30026.643728700234,34106.881026173076
2023-11-01,37122.05253813146,35021.463564883765,39302.95834057321
2023-12-01,42108.86499672321,40090.25021283342,44081.57433153741
2024-01-01,44150.35710112695,42000.05586443165,46279.51162617468
2024-02-01,40494.022308167776,38357.98422652187,42713.71898898404
2024-03-01,37986.5810219587,35915.22357872548,40113.936043038826
2024-04-01,31814.30032766282,29664.41871312167,33927.66174639019
2024-05-01,29169.615691532985,27234.195560875505,31239.750478410464
2024-06-01,27368.912850519057,25272.213188136036,29581.630950728377
2024-07-01,28555.412607198752,26364.525736331256,30663.640474360313
2024-08-01,26565.93439378476,24565.57394848172,28710.610353896394
2024-09-01,27186.767189058985,25162.460138325176,29290.53653429321
2024-10-01,31079.702270801776,28957.425009442028,33126.24485817987
2024-11-01,35965.160407280644,33986.96658807609,38151.87973610263
2024-12-01,42000.77715543242,39893.365536587095,44147.07218218614
2025-01-01,45162.2973428897,43044.147679918744,47270.07868829391
2025-02-01,38069.68938396423,35967.53434430456,40198.8444724194
2025-03-01,37504.597044836984,35348.49843711718,39551.87753410227
2025-03-31,29605.61905913434,27602.34587827229,31722.168624386013
2025-04-30,28019.174423029617,25820.71131043306,30017.627084341802
2025-05-31,26378.247889231752,24273.0810793217,28468.16277979201
2025-06-30,27612.744452662053,25556.146943922573,29627.79963071917
2025-07-31,25436.036479225048,23404.735468741954,27623.882843633073
2025-08-31,27352.927641477472,25209.654100877382,29319.75831734977
2025-09-30,30244.48080602653,28159.84927469068,32357.01269386777
2025-10-31,35603.951705487976,33453.256007018404,37797.97821439235
2025-11-30,39885.82895126389,37745.73815054809,41890.60469218258
2025-12-31,41275.86995135033,39115.15375528544,43416.03898537867
2026-01-31,39928.472029369106,37880.10040654121,42148.21184999261
2026-02-28,38301.869124002005,36228.68431401426,40452.25084343124
