Country,Time,Balance,Product,Value,Unit
Germany,24-May,Net Electricity Production,Natural Gas,5391.9993,GWh
Germany,24-May,Net Electricity Production,Combustible Renewables,3424.4511,GWh
Germany,24-May,Net Electricity Production,Other Combustible Non-Renewables,505.2457,GWh
Germany,24-May,Net Electricity Production,Geothermal,15.6935,GWh
Germany,24-May,Net Electricity Production,Solar,9861.08,GWh
Germany,24-May,Net Electricity Production,Not Specified,174.5737,GWh
Germany,24-May,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",23536.6273,GWh
Germany,24-May,Total Imports,Electricity,7290.182,GWh
Germany,24-May,Total Exports,Electricity,3757.0187,GWh
Germany,24-May,Used for pumped storage,Electricity,859.7755,GWh
